S;s;i;n_fo;fo_list;Avg_fo;Std_fo
22137;6827;4;20;[421936.33, 479843.52, 420714.68, 452312.79, 439075.06, 435281.78, 453686.03, 404195.95, 433993.04, 437081.25, 442045.66, 421621.92, 445624.46, 435874.36, 398561.36, 434850.06, 428921.91, 421124.69, 426609.46, 408522.08];432093.8195;18506.866730248355
19537;12807;4;20;[444288.94, 384340.47, 423788.91, 412764.54, 439177.89, 426994.57, 410770.42, 447528.58, 466042.81, 439148.25, 419572.0, 389218.47, 431854.39, 417277.36, 415536.31, 423011.31, 409628.56, 434920.01, 433807.33, 456088.72];426287.992;20302.493840784977
21617;12287;4;20;[449890.13, 407459.62, 411030.19, 407169.72, 483138.73, 486313.76, 440806.24, 410783.26, 387447.25, 396575.31, 394010.53, 405359.0, 454573.73, 417103.71, 424253.09, 419253.91, 402466.39, 397627.61, 395151.17, 421479.95];420594.665;28413.05821978348
21357;12547;4;20;[455159.73, 466004.83, 416661.6, 431700.81, 409511.21, 457418.32, 420245.5, 421438.69, 412894.55, 392230.77, 402575.94, 370891.43, 383182.96, 434507.15, 414306.63, 423690.11, 417360.81, 419263.24, 425074.32, 437725.27];420592.1935;23510.64577132269
22657;7867;4;20;[417650.24, 426066.71, 413935.45, 410540.69, 455839.94, 418826.17, 413075.48, 431089.19, 403183.22, 426941.34, 423013.19, 400019.3, 410183.08, 405502.38, 418444.36, 480928.93, 408431.9, 408530.82, 424487.74, 409709.61];420319.987;18883.75865949838
17197;7087;4;20;[501170.71, 539054.89, 521492.01, 514710.45999999996, 521458.98, 445144.8, 459495.52, 458643.44, 513087.05000000005, 495536.35000000003, 503804.39999999997, 478918.95, 478856.14, 504395.41, 502629.98000000004, 472612.89999999997, 475181.92000000004, 509612.28, 461916.1, 500981.93];492935.211;25194.407593172426
21357;9947;4;20;[467550.63, 458121.27, 453386.54, 445144.82, 459084.71, 462843.51, 444563.51, 478442.5, 466764.78, 455731.46, 442304.33, 475627.36, 466485.49, 444256.99, 445394.82, 462858.88, 445323.43, 478130.73, 466436.16, 475375.8];459691.386;12279.790904565363
21357;13067;4;20;[427476.83, 388677.72, 415287.89, 431556.62, 390031.72, 433452.14, 440819.9, 410075.58, 462905.37, 424741.57, 420527.8, 381281.31, 444671.63, 356844.29, 396690.21, 405646.43, 414691.85, 431627.41, 416517.13, 423206.45];415836.4925;24443.630013644583
21877;6567;4;20;[431342.01, 458044.16, 473961.85, 481220.63, 429077.07, 451573.88, 427812.85, 449812.39, 420665.17, 442911.98, 447464.37, 425802.4, 462490.13, 381596.96, 441324.61, 446147.64, 450178.51, 438695.48, 417407.89, 456500.7];441701.534;21977.409298922423
18237;12027;4;20;[470973.16, 462825.68, 434880.05, 464162.2, 426881.52, 444253.92, 482919.0, 426614.07, 450431.3, 474358.24, 431906.49, 455458.12, 409025.46, 473902.08, 475791.94999999995, 457594.38, 415923.73, 425126.11, 454133.05, 443341.54];449025.1025;21737.313436272336
17457;12547;4;20;[441587.16, 483892.91, 462826.47, 457317.06, 438869.32, 432716.54, 464128.74, 447048.59, 468877.63, 457122.22, 412273.05, 436876.09, 450321.36, 440407.51, 466478.75, 471768.34, 438852.07, 451001.05, 459893.72, 431551.41];450690.4995;16956.078796602855
20577;12807;4;20;[380450.95, 373098.72, 436760.68, 435733.04, 424856.39, 423378.1, 473637.55, 417580.97, 457542.53, 440757.04, 411518.88, 422616.02, 440255.09, 463800.76, 452900.4, 385001.26, 403575.13, 452349.07, 378306.42, 395862.28];423499.064;30050.56034541548
23177;8387;4;20;[420032.92, 382879.03, 423157.31, 375745.74, 423832.48, 390007.54, 434116.11, 421416.59, 409670.24, 362958.79, 419132.26, 392776.72, 419018.29, 394677.89, 420145.71, 366353.02, 433008.1, 393796.86, 391652.92, 415447.17];404491.2845;21708.637619872217
22397;7347;4;20;[459644.01, 442432.87, 414656.49, 452546.6, 495775.23, 430225.38, 439365.43, 434511.0, 421235.18, 431448.34, 429518.44, 434151.52, 403469.99, 437446.16, 422388.73, 443623.22, 441247.98, 457867.7, 410594.28, 418770.75];436045.965;20501.00783153573
21877;9427;4;20;[430075.02, 458044.16, 473961.85, 409615.86, 449287.92, 466007.3, 427812.85, 472095.77, 437043.56, 445378.99, 435751.2, 425802.4, 466896.39, 441576.46, 446759.96, 460947.49, 449628.51, 441384.66, 446961.89, 456500.7];447076.647;16738.691118427923
