S;s;i;n_fo;fo_list;Avg_fo;Std_fo
840;410;4;20;[16730.61, 16696.66, 15985.72, 17349.99, 16588.64, 18632.56, 16102.19, 18404.64, 15788.79, 19379.75, 18474.46, 16858.24, 17939.34, 16661.35, 16357.65, 17235.84, 17080.21, 16952.35, 16056.1, 17401.59];17133.834;984.664759693957
740;340;4;20;[19140.81, 21612.03, 20508.19, 20724.9, 20756.44, 20947.48, 19303.27, 20591.9, 21753.75, 20638.38, 21908.32, 21914.16, 20952.72, 21729.82, 18969.75, 22385.08, 20119.06, 21024.44, 21009.06, 19808.4];20789.898;959.8494327461768
830;330;4;20;[19834.09, 20599.27, 20852.84, 18307.14, 19038.29, 19016.92, 19270.56, 19405.41, 19456.71, 16197.57, 19977.09, 20076.77, 18716.94, 19434.11, 20268.48, 19519.49, 20132.55, 20141.75, 18163.82, 18682.15];19354.5975;1041.2865724764422
820;310;4;20;[19331.11, 20027.61, 21312.83, 18300.78, 20336.35, 20617.01, 20106.8, 17316.8, 19543.51, 16560.7, 20977.52, 17502.72, 19713.6, 19538.73, 19033.0, 18520.46, 20834.39, 19972.17, 19094.73, 20590.13];19461.5475;1287.1432653089798
870;280;4;20;[18832.68, 18537.77, 17107.31, 19227.14, 16808.58, 17924.1, 18597.42, 19803.01, 17561.66, 18719.66, 19489.93, 18460.48, 20106.35, 16687.96, 20543.96, 18100.46, 17186.23, 17107.7, 18704.71, 17086.74];18329.6925;1140.5314186395508
630;310;4;20;[23757.95, 24065.9, 20997.640000000003, 20884.56, 23214.3, 22607.87, 22541.63, 23032.66, 20115.859999999997, 21516.41, 22902.42, 22957.36, 22613.93, 20838.699999999997, 22721.57, 21966.57, 24488.92, 23806.2, 22075.26, 22668.62];22488.7165;1163.1630239284923
820;210;4;20;[18700.12, 18861.41, 19697.7, 20888.12, 22025.29, 21459.86, 20171.89, 18781.79, 21751.48, 17440.49, 22280.1, 17502.72, 19737.23, 19773.37, 18066.01, 18862.62, 18355.920000000002, 20122.85, 19570.3, 19848.52];19694.8895;1430.5872582356
820;330;4;20;[18917.0, 20384.99, 21312.83, 18904.55, 19267.64, 17982.96, 19365.75, 17686.39, 17495.86, 19586.58, 17889.42, 19218.07, 17995.08, 16552.52, 19660.22, 19025.59, 20834.39, 19732.98, 18857.52, 18480.38];18957.536;1163.6882610516764
830;370;4;20;[17333.36, 20273.6, 17684.69, 18320.47, 17017.09, 17475.38, 17849.96, 17955.71, 20315.33, 18274.93, 17525.32, 18099.31, 20721.75, 17383.88, 16297.66, 17222.39, 20947.98, 20198.74, 17402.81, 17359.21];18282.9785;1390.4569987229493
680;390;4;20;[15734.91, 18488.48, 17627.55, 15298.73, 16507.5, 18932.57, 18313.22, 17111.38, 18014.69, 15223.82, 16062.05, 16690.59, 16508.08, 15448.49, 17426.09, 17497.67, 17158.81, 16558.23, 16283.48, 16363.09];16862.4715;1071.59366870723
650;320;4;20;[23096.91, 22635.56, 20811.02, 21194.41, 21543.62, 22253.7, 23068.16, 21786.64, 21514.62, 20554.27, 21676.49, 23458.88, 22702.49, 22113.41, 23732.3, 22980.01, 22519.15, 21858.22, 21129.28, 20071.07];22035.0105;997.346868390938
790;230;4;20;[19329.57, 18953.4, 22182.3, 20683.91, 18623.370000000003, 19029.2, 19455.14, 20463.87, 22103.8, 20421.16, 23255.11, 21353.76, 22317.03, 19901.68, 21158.88, 20982.7, 23080.72, 18632.760000000002, 22753.7, 19655.71];20716.8885;1515.2970342973229
890;360;4;20;[19701.89, 17567.97, 15607.04, 16800.47, 16696.33, 18903.85, 19261.48, 15061.08, 18019.11, 16886.07, 17872.06, 17234.21, 18053.22, 18447.57, 16756.13, 20923.01, 15582.97, 18914.3, 18015.13, 17474.81];17688.935;1453.6787257832232
860;230;4;20;[18964.82, 18901.65, 17131.2, 18854.79, 18434.68, 18786.2, 18708.26, 18833.85, 14729.78, 18110.58, 19804.2, 21371.27, 20005.03, 18341.74, 19796.9, 17461.27, 17365.54, 20609.78, 19288.83, 21503.34];18850.1855;1537.396283140923
840;250;4;20;[19330.83, 19647.66, 16561.26, 20578.05, 19047.06, 18347.46, 19148.44, 18421.83, 19016.19, 19110.13, 20362.11, 18936.71, 20336.55, 20792.15, 18197.8, 15598.92, 19105.94, 19297.62, 17243.56, 18174.36];18862.7315;1304.273001416478
790;370;4;20;[17825.19, 21124.36, 20622.31, 22864.19, 17946.8, 18331.92, 19714.45, 15845.5, 18394.49, 18942.41, 20090.75, 19385.78, 19472.61, 18991.49, 21261.94, 20901.92, 19995.24, 20647.64, 16846.56, 17667.53];19343.654;1684.2220250792664
600;220;4;20;[21991.14, 18815.489999999998, 15202.689999999999, 14210.62, 14182.739999999998, 11956.999999999998, 14775.41, 18552.89, 19396.879999999997, 17962.98, 16550.23, 17008.38, 14433.539999999997, 22044.96, 20556.510000000002, 15368.970000000001, 15625.720000000001, 15771.869999999999, 20115.149999999998, 21911.93];17321.755;2985.290645433125
830;310;4;20;[19193.02, 18137.73, 19802.46, 18614.15, 20819.83, 18063.56, 19907.83, 18565.25, 17852.88, 17771.6, 20221.13, 19581.26, 21671.54, 18132.54, 19745.2, 20669.68, 19768.9, 20401.84, 19167.31, 19101.99];19359.485;1092.372119291436
610;320;4;20;[21081.33, 20102.9, 19736.22, 18576.93, 22250.38, 20368.38, 21532.61, 17596.41, 18870.14, 19858.49, 21399.57, 19705.74, 21848.89, 19325.710000000003, 19301.27, 19908.66, 19715.56, 17687.65, 21289.37, 20459.13];20030.767;1289.5216751350702
700;220;4;20;[19499.95, 19851.649999999998, 23102.1, 21769.39, 20023.41, 22106.899999999998, 22597.440000000002, 20280.1, 23290.37, 20542.86, 19838.65, 18112.44, 23834.54, 19013.21, 18527.93, 24670.86, 22686.97, 19740.05, 23683.11, 19867.7];21151.9815;1960.0084473536413
880;340;4;20;[19828.82, 16646.77, 19697.82, 18009.81, 16682.66, 17193.2, 18197.33, 17390.76, 15143.43, 17661.68, 18750.58, 17903.8, 18341.26, 16909.46, 17773.29, 17120.39, 14514.73, 18453.42, 17175.17, 19073.74];17623.406;1321.5291944537903
850;340;4;20;[19069.84, 17896.72, 16463.38, 17410.5, 17789.66, 17529.12, 20732.3, 17027.399999999998, 19220.14, 18699.24, 20005.95, 18042.07, 16425.95, 19183.95, 21272.13, 16757.19, 16949.71, 17305.51, 18438.03, 18372.06];18229.5425;1367.6202093528248
900;250;4;20;[19440.5, 14037.48, 16585.87, 14426.18, 17109.54, 17320.49, 18538.82, 16698.29, 15909.66, 18583.63, 17381.09, 19023.79, 18240.67, 15702.7, 16307.24, 14365.43, 17040.77, 16668.05, 16580.63, 16413.9];16818.7365;1498.3717615018152
